"","section","age","d13c","d13o","d18c","temp","d13a","d13a.sd","d13s","d13s.sd","R","R.sd","Sz","Sz.sd","co2","co2.sd"
"51","Zhaojiachuan",2013.14286,-5.80558781450486,-24.722,-8.89737181167595,17.3,-6.11638099,0.135400640077266,-15.5526628041649,0.348347815759946,0.729340679059475,0.0838821280574471,316.849627063348,200.972199067674,230.307856636553,150.649463975223
"52","Zhaojiachuan",2058,-5.64870762944815,-25.972,-9.24936671672242,17.3,-6.9,0.0713559154286922,-15.4010901122776,0.354006157025478,0.975738376424259,0.103351175956414,338.473435781035,223.13503909193,327.701976837799,223.393849471552
"53","Zhaojiachuan",2068,-6.03942785229526,-24.689,-9.63624354926094,17.3,-6.52466666666666,0.221114600754149,-15.7842418736462,0.353424286014968,0.713105806399544,0.0856386706349674,367.383667926066,251.158334078554,261.516468832384,184.710963346353
"54","Zhaojiachuan",2083,-5.79577746111909,-25.881,-9.35819406549376,17.3,-6.34,0.164418166068514,-15.5448020516646,0.350168154034855,0.875194209920742,0.0904096823601528,347.024040206745,227.274580248774,301.991975862231,203.782703067555
"55","Zhaojiachuan",2111.2,-4.848,-25.29,-8.134,17.3,-6.4604,0.230217288664427,-14.6059826687857,0.353018039262572,1.0312158951267,0.107978521343416,268.172405362622,165.994730931556,275.540152138304,175.809336872496
"56","Zhaojiachuan",2113.30909,-5.156,-25.378,-8.475,17.3,-6.44352728,0.230217288664427,-14.9117727652286,0.356763255676036,0.966613878338213,0.102858718358498,290.606906678524,179.725697400972,279.419627811279,179.423981781376
"57","Zhaojiachuan",2114.36364,-4.393,-22.138,-9.264,17.3,-6.43509088,0.230217288664427,-14.1564129669296,0.348592237888502,0.736727512230839,0.103814781216291,343.22782174575,231.192316570754,251.742934228911,177.051448368808
"58","Zhaojiachuan",2115.41818,-3.946,-22.674,-9.175,17.3,-6.42665456,0.230217288664427,-13.7117451337778,0.353103549694018,0.913577464479137,0.117328501376107,337.985044705483,219.166932053986,306.144001528149,208.694400138731
"59","Zhaojiachuan",2117.52727,-4.018,-23.368,-8.706,17.3,-6.40978184,0.230217288664427,-13.7891894284959,0.351166031122962,0.988571766032175,0.118788099063683,305.649469003943,191.881832616362,299.837908501777,196.19555117843
"60","Zhaojiachuan",2160.66667,-4.28567834023431,-24.696,-8.7169162375136,17.3,-6.32244448166666,0.137961347243833,-14.0472030343461,0.354744301695254,1.08334095098879,0.117148108367715,309.649593749657,192.418026242267,331.913980092581,213.090114831197
"61","Zhaojiachuan",2238.33333,-4.89318644165223,-24.884,-9.22897050325673,17.3,-6.27166659,0.151547572288924,-14.645672806239,0.347960026187699,0.949604633349122,0.101245646938653,337.356997391711,226.821052955998,318.894480578093,220.791210909205
"62","Zhaojiachuan",2240.66667,-5.32409800381276,-25.753,-9.18640959824267,17.3,-6.32766675499999,0.156498136304132,-15.0757039393947,0.348946577304509,0.959744089106186,0.0980530594299419,333.29925452105,218.569828491219,319.15636993703,215.14077602087
"63","Zhaojiachuan",2243,-5.58803522254016,-24.549,-9.13026365694907,17.3,-6.38949999999999,0.156498136304132,-15.3398787948861,0.352151935624315,0.774313887384927,0.0905476454538209,329.656318175694,215.545514304332,253.486636137246,171.886816505191
"64","Zhaojiachuan",2250,-5.65484175336053,-25.747,-9.6326158466685,17.3,-6.575,0.173685539601507,-15.4089044424829,0.353260695201135,0.912166582149072,0.0969341671251327,369.006057646426,243.375265285446,335.547265751707,226.993552279597
"65","Zhaojiachuan",2280.2,-4.84187937313322,-24.673,-9.15392159066926,17.3,-6.3846,0.099121138007995,-14.5982950030879,0.354409550383237,0.948551211960296,0.105423011278668,332.737781317942,219.813898398962,313.881722018407,215.135701316978
"66","Zhaojiachuan",2283.8,-4.95485250084596,-25.474,-9.14559133231717,17.3,-6.46740000000001,0.099121138007995,-14.7041050734235,0.352979569894723,1.03188539680027,0.107267563552666,328.417702530472,215.111241585686,337.303108291271,226.033896380298
"67","Zhaojiachuan",2350,-4.8587087033676,-24.51,-9.25588395290004,17.3,-6.02666666666667,0.173469497799085,-14.6189845309879,0.347473976937466,0.885793677380373,0.0974429180788319,340.050980395867,227.549307645235,299.955572254177,206.441315013448
"68","Zhaojiachuan",2361.5,-4.47646629190285,-24.641,-9.1450915168158,17.3,-6.1455,0.132790561913614,-14.2440013090775,0.353109106575725,1.00517525445576,0.108286677391543,333.13927304289,214.772312083281,332.247058967318,222.156499952735
"69","Zhaojiachuan",2373,-4.17687226062299,-25.437,-9.3163089877437,17.3,-6.183,0.122338328690017,-13.9443421484183,0.350765212267051,1.18597870375945,0.119529125340275,342.91575713198,226.511012658521,404.198792737343,275.401373037037
"70","Zhaojiachuan",2402.3,-4.14970151502087,-25.802,-9.13495192964979,17.3,-6.28009166666668,0.204613456709637,-13.9169832748833,0.354479395661429,1.25816410749188,0.124524133874378,331.176631385067,210.177759207819,415.813198650435,271.625171201518
"71","Zhaojiachuan",2486.45,-4.77477166779499,-25.848,-9.38736785078925,17.3,-6.41512499999999,0.200062490237426,-14.5320528543122,0.354322058542642,1.11201024034124,0.112415465412617,349.363466113986,228.152054814184,389.773795845392,259.758960059999
"72","Zhaojiachuan",2517.05,-4.87659046184103,-25.615,-9.02693675028149,17.3,-6.32544166666665,0.374020944155092,-14.6337085437445,0.348154788307432,1.04802210323501,0.106338040560562,329.625429470724,204.600599547797,345.094406470112,221.236640779921
"73","Zhaojiachuan",2526.23,-5.13430981433658,-25.533,-8.6599372703846,17.3,-6.166805,0.143874945699382,-14.8872946358415,0.34844119819936,0.958081817090902,0.0988348521610784,300.116789970854,186.265097911397,287.867832538738,183.908130426647
"74","Zhaojiachuan",2595,-4.594,-22.396,-8.77,17.3,-6.22833333333333,0.143643076176102,-14.3552215946132,0.351051418111229,0.706095932559172,0.0975399338353684,307.150725802813,193.221971364785,215.112786381126,143.111969619494
"75","Zhaojiachuan",2606,-4.172,-22.726,-8.956,17.3,-6.156,0.0929157324317759,-13.939741314361,0.354122555794696,0.833162119601685,0.106775464474433,317.687478804033,204.600291067908,264.471680117104,176.974757009988
"76","Zhaojiachuan",2617,-4.136,-23.08,-9.09,17.3,-6.4635,0.236977495415352,-13.9052826550969,0.357448954011864,0.927093688877468,0.115544815970802,327.176271461181,213.032439283921,300.260986431799,203.394550022475
"77","Fuxian",805.069767441918,-7.82161890084001,-23.472,-10.0001194170442,17.8,-7.25713953487828,0.476410187408568,-17.4982445403805,0.353240054155535,0.361219754729847,0.0676989221924447,392.085930894538,271.994211397447,138.390290009152,104.654067975854
"78","Fuxian",870.888888888911,-5.95664497120379,-23.269,-9.07989693476373,17.8,-7.67862962963046,0.564092191046818,-15.6416045020941,0.353831488853125,0.67000617403415,0.0989233618343785,322.509458399827,213.36662386818,213.484632105701,150.907313027295
"79","Fuxian",877.888888888909,-6.40883383160542,-23.144,-9.301560911337,17.8,-7.94346296296372,0.564092191046818,-16.0972060985113,0.350006902137953,0.583941430978698,0.0925903611579216,341.481939162503,222.011609221472,195.343294615026,137.36739090089
"80","Fuxian",895.777777777795,-6.46172977796925,-23.252,-9.69380130291893,17.8,-7.26444444444333,0.57373048260195,-16.1474432046994,0.355858454730092,0.54147118908744,0.0846432550961316,370.045887761448,250.247632761323,197.740364447126,143.521357113733
