age,SST
1036.47,28.53858787
1038.6,28.4071761
1040.72,28.4707089
1042.84,28.42561901
1044.97,28.28511378
1047.09,28.31618392
1058.09,29.00846219
1060.8,28.89539467
1063.52,28.06664033
1066.24,29.67339782
1068.97,30.26724261
1071.23,29.36272063
1073.54,30.12404992
1076.11,29.48585005
1078.69,29.26885445
1081.26,29.38684846
1083.83,29.70869369
1086.4,29.84454605
1088.97,27.51733899
1091.54,28.80488715
1094.11,25.70622421
1096.69,27.66569439
1099.26,28.01124393
1101.83,28.39655752
1104.4,28.56625517
1106.97,29.2260355
1109.2,29.63397011
1111.2,29.48292961
1113.2,29.13657971
1115.2,28.43686215
1117.2,27.91381624
1119.2,26.67616125
1121.2,26.49659194
1123.5,26.60128193
1126,27.32629804
1128.5,27.23087876
1131,27.72605984
1133.96,28.03605799
1137.24,29.06831901
1140.51,28.41646503
1143.78,29.29025649
1147.06,28.35116981
1150.33,28.52443432
1153.6,29.01816188
1156.87,28.46719624
1160.15,29.37822334
1163.42,29.76381159
1166.69,29.91592863
1169.2,30.03695442
1171.2,29.82882662
1173.2,29.63786694
1175.2,29.67473231
1177.2,29.30311876
1179.2,29.90137993
1181.2,29.65950037
1183.2,29.76743755
1185.2,29.67849165
1187.2,29.62758174
1189.2,29.37082766
1191.2,28.10134521
1193.2,27.11333106
1195.2,26.82583438
1197.2,27.28061632
1199.2,26.82890456
1203,26.73472178
1207.4,27.58923063
1211.4,26.31557592
1213.41,26.15056396
1214.1,26.06010135
1214.78,27.38955269
1215.47,27.52834777
1216.15,27.90447316
1216.84,27.63446154
1217.53,26.96833824
1218.95,28.34146969
1220.87,28.52472794
1223.74,28.77733115
1228.17,29.32066283
1231.47,29.729606
1233.58,30.03782076
1235.68,30.05186634
1237.79,29.59580243
1239.9,28.83160398
1242.66,27.98412145
1246.5,26.94563874
1250.78,28.17507296
1255.05,27.22961864
1258.68,28.05320332
1261.13,27.92530656
1263.03,28.22908556
1264.88,28.24023121
1266.72,27.65342747
1268.57,27.57550865
1270.42,27.71249663
1272.26,28.47283025
1274.21,28.77678183
1276.22,29.46369999
1278.24,29.08150851
1280.25,28.62414393
1282.27,28.8185968
1284.28,28.88906175
1294.58,28.79925909
1297.54,28.14556884
1300.13,27.90663455
1302.49,28.77600859
1304.85,27.83272204
1307.22,28.73444666
1309.58,28.74163669
1311.2,29.33049412
1311.7,29.05091533
1312.2,28.93198541
1312.7,28.66218322
1314.05,29.07760962
1316.69,29.63946111
1319.32,29.50279013
1321.95,29.34928179
1324.59,29.44117403
1327.22,29.1944707
1329.74,29.09620016
1332.09,28.09098808
1334.44,27.82635377
1336.79,27.59846702
1339.32,27.40393831
1341.68,27.76802372
1343.37,28.69984842
1345.05,29.20528344
1346.74,30.26103324
1348.42,29.7252962
1350.11,30.16918484
1351.79,30.16320472
1353.47,29.64093164
1355.16,29.77330819
1356.84,29.74450053
1360.21,29.87399778
1361.9,29.81836206
1363.58,30.00987532
1365.26,29.78893135
1366.95,29.294505
1368.63,28.28234421
1370.32,27.88278906
1372.32,27.01724978
1375,27.08543574
1378.09,27.12885538
1381.39,28.14710735
1384.77,28.57963793
1389.85,29.4646237
1393.23,29.76411775
1396.62,29.64580534
1399.6,30.03126261
1401.5,29.22860252
1403,29.18810757
1404.5,29.49341106
1406,29.51379477
1407.5,28.99785429
1409,28.98835575
1410.5,28.44507743
1412.16,28.40375795
1414.25,28.93197246
1416.5,29.23156554
1418.75,28.83621014
1421,29.28647019
1423.25,28.99997807
1425.5,29.38249187
1427.75,29.6511919
1430,29.82599554
1432.25,29.74243294
1434.5,29.84517672
1436.75,30.15292062
1439,30.35538848
1441.25,30.15182044
1443.5,30.18914793
1445.75,30.32638714
1448.09,30.46502934
1450.67,29.22504299
1453.33,28.48554165
1455.91,28.18949957
1458.22,28.54132779
1460.44,29.06699998
1462.67,29.2408502
1464.89,29.38418073
1467.11,29.30406899
1469.33,29.63149858
1471.56,29.50521268
1473.78,29.61003918
1476,30.08930841
1478.22,30.30096909
1480.44,30.34061058
1482.67,30.33978511
