age,GMST
0.998,-1.73
0.999,-1.66
1,-1.69
1.001,-1.64
1.002,-1.61
1.003,-1.98
1.004,-2.15
1.005,-2.14
1.006,-2.09
1.007,-2.11
1.008,-2.25
1.009,-2.34
1.01,-2.43
1.011,-2.38
1.012,-2.43
1.013,-2.28
1.014,-2.27
1.015,-2.06
1.016,-1.98
1.017,-1.77
1.018,-1.68
1.019,-1.46
1.02,-1.41
1.021,-1.21
1.022,-0.99
1.023,-1.05
1.024,-1.03
1.025,-0.90
1.026,-0.78
1.027,-0.64
1.028,-0.63
1.029,-0.63
1.03,-0.78
1.031,-0.94
1.032,-1.12
1.033,-1.34
1.034,-1.51
1.035,-1.70
1.036,-1.98
1.037,-2.12
1.038,-2.40
1.039,-2.53
1.04,-2.38
1.041,-2.57
1.042,-2.42
1.043,-2.30
1.044,-2.16
1.045,-2.13
1.046,-2.27
1.047,-2.41
1.048,-2.58
1.049,-2.65
1.05,-2.63
1.051,-2.65
1.052,-2.78
1.053,-2.64
1.054,-2.60
1.055,-2.30
1.056,-2.45
1.057,-2.18
1.058,-2.05
1.059,-2.05
1.06,-1.98
1.061,-1.70
1.062,-1.34
1.063,-1.08
1.064,-0.75
1.065,-0.41
1.066,-0.05
1.067,0.17
1.068,0.36
1.069,0.52
1.07,0.57
1.071,0.53
1.072,0.54
1.073,0.57
1.074,0.52
1.075,0.59
1.076,0.61
1.077,0.49
1.078,0.56
1.079,0.66
1.08,0.76
1.081,0.82
1.082,0.79
1.083,0.66
1.084,0.51
1.085,0.45
1.086,0.02
1.087,-0.19
1.088,-0.57
1.089,-0.66
1.09,-0.88
1.091,-0.90
1.092,-0.97
1.093,-1.37
1.094,-1.66
1.095,-1.95
1.096,-2.13
1.097,-2.18
1.098,-1.98
1.099,-2.24
1.1,-1.99
1.101,-1.99
1.102,-2.15
1.103,-2.30
1.104,-2.18
1.105,-1.93
1.106,-1.55
1.107,-1.39
1.108,-1.07
1.109,-1.01
1.11,-0.44
1.111,-0.82
1.112,-1.02
1.113,-1.25
1.114,-1.40
1.115,-1.51
1.116,-1.73
1.117,-1.86
1.118,-1.90
1.119,-2.15
1.12,-2.27
1.121,-2.58
1.122,-2.90
1.123,-3.03
1.124,-2.99
1.125,-2.91
1.126,-2.71
1.127,-2.59
1.128,-2.54
1.129,-2.63
1.13,-2.74
1.131,-2.74
1.132,-2.96
1.133,-3.17
1.134,-2.94
1.135,-2.32
1.136,-2.66
1.137,-2.67
1.138,-2.89
1.139,-2.69
1.14,-2.42
1.141,-2.00
1.142,-2.03
1.143,-1.86
1.144,-1.79
1.145,-1.71
1.146,-1.52
1.147,-1.23
1.148,-1.00
1.149,-0.75
1.15,-0.63
1.151,-0.55
1.152,-0.74
1.153,-0.75
1.154,-0.58
1.155,-0.45
1.156,-0.24
1.157,-0.11
1.158,0.02
1.159,0.12
1.16,0.14
1.161,0.17
1.162,0.30
1.163,0.46
1.164,0.43
1.165,0.47
1.166,0.55
1.167,0.57
1.168,0.56
1.169,0.70
1.17,0.71
1.171,0.63
1.172,0.66
1.173,0.67
1.174,0.72
1.175,0.64
1.176,0.65
1.177,0.65
1.178,0.59
1.179,0.64
1.18,0.67
1.181,0.87
1.182,0.95
1.183,1.01
1.184,0.94
1.185,0.98
1.186,0.93
1.187,0.93
1.188,0.92
1.189,0.81
1.19,0.77
1.191,0.34
1.192,0.16
1.193,-0.22
1.194,-0.35
1.195,-0.70
1.196,-0.86
1.197,-0.96
1.198,-1.37
