period,Age,CO2,higher,lower,author
IG,329.11,294.82,24.58,24.58,hoenisch
IG,383.73,259.5,19.38,19.38,hoenisch
IG,386.37,242.34,19.38,19.38,hoenisch
IG,386.4,251.42,28.37,28.37,dyez
IG,409.09,297.46,24.9,24.9,hoenisch
IG,409.1,296.98,35.37,35.37,dyez
IG,414.08,317.7,24.9,24.9,hoenisch
IG,418.8,274.77,31.73,31.73,dyez
IG,418.81,271.12,22.2,22.2,hoenisch
IG,421.57,292.7,22.2,22.2,hoenisch
IG,596.3,162.82,10.56,9.84,stap
IG,616.27,244.95,19.65,19.65,hoenisch
IG,616.3,249.8,28.01,28.01,dyez
IG,620.4,169.25,11.05,10.28,stap
IG,702.17,250.36,20.16,20.16,hoenisch
IG,702.2,252.97,28.36,28.36,dyez
IG,703.5,263.35,29.9,29.9,dyez
IG,703.51,260.18,21.1,21.1,hoenisch
IG,819.4,152.2,9.78,9.13,stap
IG,858.8,168.45,10.98,10.22,stap
IG,944.5,183.29,12.11,11.25,stap
IG,949.99,281.85,23.22,23.22,hoenisch
IG,950,281.67,33.36,33.36,dyez
IG,952.8,304.68,37.03,37.03,dyez
IG,952.84,308.6,25.93,25.93,hoenisch
IG,980,311,17,15,Pearson
IG,1072.8,293.26,35.54,35.54,dyez
IG,1072.82,295.27,24.53,24.53,hoenisch
IG,1078.9,258.1,29.73,29.73,dyez
IG,1078.92,257.3,20.73,20.73,hoenisch
IG,1106.2,242.21,35.67,33.99,chalk
IG,1106.2,257.95,31.86,31.86,dyez
IG,1106.2,246.55,27.48,24.84,sosdian
IG,1107.82,260.5,38.68,37.36,chalk
IG,1107.82,276.83,36.29,36.29,dyez
IG,1107.82,262.51,31.08,27.72,sosdian
IG,1110.3,281.66,39.56,38.87,chalk
IG,1110.3,299.34,37.49,37.49,dyez
IG,1110.3,284.02,33.26,30.19,sosdian
IG,1112.8,241.64,36.06,35.2,chalk
IG,1112.8,258.5,35.04,35.04,dyez
IG,1112.8,246.21,28.14,26.09,sosdian
IG,1143.23,280.07,43.37,40.64,chalk
IG,1143.23,302.22,43.99,43.99,dyez
IG,1143.23,278.14,35.69,31.87,sosdian
IG,1145.33,298.21,43.99,41.29,chalk
IG,1145.33,321.85,45.68,45.68,dyez
IG,1145.33,295.74,38.82,33.68,sosdian
IG,1148.9,314.93,52.29,49.41,chalk
IG,1148.9,339.23,64.49,64.49,dyez
IG,1148.9,310.44,47.37,39.87,sosdian
IG,1150.94,262.13,39.03,38.4,chalk
IG,1150.94,283.35,40.52,40.52,dyez
IG,1150.94,260.5,34.06,29.86,sosdian
IG,1154.09,246.39,37.65,36,chalk
IG,1154.09,266.89,36.99,36.99,dyez
IG,1154.09,248.05,31.16,27.95,sosdian
IG,1157.77,301.93,44.67,42.15,chalk
IG,1157.77,325.11,44.75,44.75,dyez
IG,1157.77,299.72,38.19,34.12,sosdian
IG,1160.73,311.41,45.69,42.35,chalk
IG,1160.73,335.36,47.17,47.17,dyez
IG,1160.73,307.68,39.38,35.49,sosdian
IG,1162.85,273.67,39.54,37.4,chalk
IG,1162.85,295.05,37.87,37.87,dyez
IG,1162.85,275.14,33.12,29.23,sosdian
IG,1168.28,264.52,21.43,21.43,hoenisch
IG,1168.3,265.48,30.97,30.97,dyez
IG,1169.86,283.11,40.49,37.34,chalk
IG,1169.86,305.23,36.12,36.12,dyez
IG,1169.86,283.63,33.15,30.07,sosdian
IG,1177.57,271.52,38.77,37.3,chalk
IG,1177.57,293.61,36.2,36.2,dyez
IG,1177.57,273.2,33.87,30.39,sosdian
IG,1179.66,261.62,38.36,37.55,chalk
IG,1179.66,282.18,36.75,36.75,dyez
IG,1179.66,263.28,32.4,29.43,sosdian
IG,1181.75,228.5,33.49,33.24,chalk
IG,1181.75,247.29,31.4,31.4,dyez
IG,1181.75,233.36,27.09,24.5,sosdian
IG,1184.06,222.42,33.76,33.2,chalk
IG,1184.06,240.35,32.29,32.29,dyez
IG,1184.06,226.28,27.11,23.81,sosdian
IG,1185.97,254.36,38.36,35.5,chalk
IG,1185.97,274.23,35.85,35.85,dyez
IG,1185.97,257.13,30.73,28.03,sosdian
IG,1188.07,263.57,38.39,36.16,chalk
IG,1188.07,284.75,36.1,36.1,dyez
IG,1188.07,265.36,31.66,28.28,sosdian
IG,1216.42,271.7,40.3,37.67,chalk
IG,1216.42,291.69,39.82,39.82,dyez
IG,1216.42,272.15,34.24,30.64,sosdian
IG,1218.54,301.08,44.67,41.82,chalk
IG,1218.54,322.27,45.13,45.13,dyez
IG,1218.54,298.36,38.23,34.07,sosdian
IG,1224.18,252.53,37.93,37.54,chalk
IG,1224.18,268.8,38.45,38.45,dyez
IG,1224.18,255.14,33.4,29.55,sosdian
IG,1227.17,270.71,40.28,38.1,chalk
IG,1227.17,287.51,38.72,38.72,dyez
IG,1227.17,271.52,35.04,30.6,sosdian
IG,1230.72,314.04,46.46,44.36,chalk
IG,1230.72,332.78,49.78,49.78,dyez
IG,1230.72,312.45,43.09,37.1,sosdian
IG,1233.29,243.6,19.45,19.45,hoenisch
IG,1233.3,247.23,28.53,28.53,dyez
IG,1233.9,295.24,41.89,40.71,chalk
IG,1233.9,312.73,41.66,41.66,dyez
IG,1233.9,295.82,37.79,33.14,sosdian
IG,1236.18,259.78,37.74,35.34,chalk
IG,1236.18,275.39,34.27,34.27,dyez
IG,1236.18,262.84,31.53,27.71,sosdian
IG,1238.67,270.38,22.03,22.03,hoenisch
IG,1238.7,270.7,31.31,31.31,dyez
IG,1239.83,265.65,39.19,37.57,chalk
IG,1239.83,281.84,37.74,37.74,dyez
IG,1239.83,269.3,33.06,29.43,sosdian
IG,1243.25,288.51,39.95,38.42,chalk
IG,1243.25,308.05,36.13,36.13,dyez
IG,1243.25,292.57,34.63,30.69,sosdian
IG,1351.57,285.22,34.34,34.34,dyez
IG,1353.31,283.8,23.35,23.35,hoenisch
IG,1384,213.86,23.95,23.95,dyez
IG,1392.67,282.22,39.85,39.85,dyez
IG,1397.33,271.21,31.4,31.4,dyez
IG,1402,320.21,44.43,44.43,dyez
IG,1425.17,234.25,28.07,28.07,dyez
IG,1426.26,215.01,25.54,22.22,sosdian
IG,1430.33,225.77,30.66,30.66,dyez
IG,1435.5,241.87,41.25,41.25,dyez
IG,1440.67,284.89,35.72,35.72,dyez
IG,1445.83,286.65,41.2,41.2,dyez
IG,1451.03,256.45,49.55,49.55,dyez
IG,1473.51,278.52,32.22,32.22,dyez
IG,1478.01,271.89,31.77,31.77,dyez
IG,1482.5,226.54,24.89,24.89,dyez
IG,1487,257.44,30.11,30.11,dyez
IG,1490,292.23,34.41,34.41,dyez
IG,1490,295,47,40,Pearson
IG,1512.33,223.24,26.66,26.66,dyez
IG,1515.67,298.89,37.87,37.87,dyez
IG,1519,277.93,34.93,34.93,dyez
IG,1522.33,283.64,39.34,39.34,dyez
IG,1525.67,305.94,36.16,36.16,dyez
IG,1529,255.82,27.36,27.36,dyez
IG,1673.69,271.38,22.07,22.07,hoenisch
IG,1779.6,224.59,26,26,dyez
IG,1854.15,267.48,21.73,21.73,hoenisch
IG,1880,177.29,27.48,23.97,sosdian
